Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
17-400,NGC2264   Скопление Снежинки,06h40m,09.53,02-03.02.1952,40m,09h33m,10h13m,09h33m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1.5C,  пластинки East 103aE + к.ф. III.",
17-1588,Sky,06h44m,-18.12,01-02.02.1956,20m,06h37m,06h57m,06h37m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Гайнулина Р.Х.,"t= + 4.5C,  пластинки Astrouns, имеется  калибровка 17-1588-Cal.",
17-1607,Sky,06h44m,-18.12,07-08.03.1956,20m,08h21m,08h41m,08h21m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Гайнулина Р.Х.,"t= + 5.5C,  пластинки Jlford HP3, имеется  калибровка 24-1607-Cal.",
17-917,IC434  тум. Конская Голова,05h40m,-02.27,09-10.10.1953,1h25m,03h45m,05h10m,03h45m,"9,9*9,9cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 13C,  пластинки Изохром Никфи + ж.ф.II.",
17-919-1,IC434  тум. Конская Голова,05h40m,-02.27,09-10.10.1953,1h25m,,,,"9,9*9,9cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 13C,  пластинки Изохром Никфи (очувствленные)+ ж.ф.II.",
17-1467,IC466-NGC2247,06h28m,10.30,20-21.10.1955,20m,06h32m,06h52m,06h32m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns, имеется стандарт 17-1465-st и калибровка 17-1465-1-Cal, 17-1465-2-Cal.",
17-1613,IC466-NGC2247,06h28m,10.30,08-09.03.1956,20m,08h32m,08h52m,08h32m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Гайнулина Р.Х.,"t= + 7.5C,  пластинки Astrouns, имеется  калибровка 19-1611-Cal.",
17-542,Ced125,,,16-17.11.1952,1h,17h00m,18h00m,17h00m,"9,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 21C,  пластинки Jsopan JSS.",
17-1294,M42-NGC1976 Большая туманность Ориона,05h35m,-05.23,07-08.03.1955,25m,07h37m,08h02m,07h37m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Jsopan JSS + к.ф.III, имеет стандарт 17-1295, 17-1296 и калибровку 17-1294-1-Cal, 17-1294-2-Cal.",
17-1295,Stars-st,,,07-08.03.1955,30m,08h45m,09h15m,08h45m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Jsopan JSS + к.ф.III, стандарт  к снимку 17-1294.",
17-1296,Stars-st,,,07-08.03.1955,25m,09h36m,10h01m,09h36m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Jsopan JSS + к.ф.III, стандарт  к снимку 17-1294.",
17-1425-Cal,Calibrovka,,,24-25.09.1955,1h11m;30m,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 15C,  пластинки Astro uns, калибровка к снимку 17-1425.",
17-1425-st,NPS (α UMi)   Полярная звезда,02h31m,89.15,24-25.09.1955,40m,04h22m,05h02m,04h22m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 15C,  пластинки Astro uns, стандарт к снимку 17-1425.",
17-1449-a-st, M45   Плеяды,03h46m,24.07,17-18.10.1955,20m,23h13m,23h33m,23h13m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, стандарт к снимку  17-1449, 17-1450, 17-1451, 17-1452.",
17-1449-Cal,Calibrovka,,,17-18.10.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, калибровка к снимку  17-1449, 17-1450, 17-1451, 17-1452.",
17-1449-b-st, M45   Плеяды,03h46m,24.07,17-18.10.1955,20m,03h43m,04h03m,03h43m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, стандарт к снимку  17-1449, 17-1450, 17-1451, 17-1452.",
17-1455-1-st, M45   Плеяды,03h46m,24.07,18-19.10.1955,20m,22h49m,23h09m,22h49m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, стандарт к снимку  17-1455, 17-1456, 16-1457, 17-1458.",
17-1455-Cal,Calibrovka,,,18-19.10.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, калибровка к снимку  17-1455, 17-1456, 16-1457, 17-1458.",
17-1455-2-st, M45   Плеяды,03h46m,24.07,18-19.10.1955,20m,03h34m,03h54m,03h34m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, стандарт к снимку  17-1455, 17-1456, 16-1457, 17-1458.",
17-1455-clarity,Clarity-alpha-Aur (Капелла) Прозрачность,05h16m,45.59,18-19.10.1955,,,,,"3,0*5,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, прозрачность к снимку  17-1455, 17-1456, 16-1457, 17-1458.",
17-1465-st, M45   Плеяды,03h46m,24.07,20-21.10.1955,20m,06h54m,07h14m,06h54m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns,  стандарт к снимку 17-1465, 17-1466, 17-1467.",
17-1465-Cal,Calibrovka,,,20-21.10.1955,,,,,"3,0*8,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns, калибровка к снимку  17-1465, 17-1466,  17-1467.",
17-1465-clarity,Clarity-gamma-Ori  Прозрачность,05h25m,06.20,20-21.10.1955,20m,,,,"3,0*5,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns, прозрачность к снимку 17-1465, 17-1466, 17-1467.",
17-1416,IC348,03h42m,32.00,21-22.09.1955,1h,01h22m,02h22m,01h22m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, имеется стандарт 17-1414-st и калибровки 17-1414-1-Cal, 17-1414-2-Cal",
17-2029-a-sp,McD12,20h06m,35.50,29-30.06.1959,10m,18h37m,18h47m,18h37m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= + 21C,  пластинки Kodak OaO с объективной призмой.",
17-2029-b-sp,McD12,20h06m,35.50,29-30.06.1959,8m,18h22m,18h30m,18h22m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= + 21C,  пластинки Kodak OaO с объективной призмой.",
17-2029-v-sp,McD12,20h06m,35.50,30.06-01.07.1959,10m,19h20m,19h30m,19h20m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= + 25C,  пластинки Kodak OaO с объективной призмой.",
17-2032-a-sp,McD12,20h06m,35.50,30-31.08.1959,4m,19h41m,19h45m,19h41m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Курчаков А.В.,"t= + 19C,  пластинки Kodak OaF с объективной призмой.",
17-917-Cal,Calibrovka,,,09-10.10.1953,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 13C,  пластинки Изохром Никфи + ж.ф.II.",
17-958-Cal,Calibrovka,,,25-26.12.1953,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Jsopan JSS.",
17-1294-2-Cal,Calibrovka,,,07-08.03.1955,1h11m;30m,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Матягин В.С.,"t= + 21C,  пластинки Jsopan JSS + к.ф.III, калибровка  к снимку 17-1294, 17-1295, 17-1296.",
17-1414-1-Cal,Calibrovka,,,21-22.09.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, калибровка  к снимку 18-1414, 17-1415, 17-1416",
17-1414-2-Cal,Calibrovka,,,21-22.09.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, калибровка  к снимку 18-1414, 17-1415, 17-1416",
17-1414-clarity,Clarity-alpha-Aur (Капелла) Прозрачность,05h16m,45.59,21-22.09.1955,,,,,"3,0*3,2cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, прозрачность к снимку 18-1414, 17-1415, 17-1416",
17-1437-st,NPS (α UMi)   Полярная звезда,02h31m,89.15,11-12.10.1955,30m,00h45m,01h15m,00h45m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns, стандарт к снимку 17-1437, 17-1438.",
17-1437-Cal,Calibrovka,,,11-12.10.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns, калибровка  к снимку 17-1437, 17-1438.",
17-1732,M1-NGC1952-TaurusA   Крабовидная тум.,05h34m,22.00,22-23.12.1956,20m,03h10m,03h30m,03h10m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Jlford zenit, имеется стандарт 17-1730-st и калибровка 17-1730-Cal.",
17-1730-st, M45   Плеяды,03h46m,24.07,22-23.12.1956,20m,01h25m,01h45m,01h25m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Jlford zenit, стандарт к снимку 17-1730, 23-1731, 17-1732.",
17-1730-Cal,Calibrovka,,,22-23.12.1956,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Jlford zenit, калибровка к снимку 17-1730, 23-1731, 17-1732.",
17-2017-st,GC6574-Ced44,05h19m,08.23,06-07.03.1959,8m,06h20m,06h28m,06h20m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 0 C,  пластинки Kodak OaO, стандарт к снимку 17-2017.",
17-2017-Cal,Calibrovka,,,06-07.03.1959,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 0 C,  пластинки Kodak OaO, калибровка  к снимку 17-2017.",
19-212,IC4604-rho-Oph  ,16h25m,-23.26,27-28.06.1951,30m,16h05m,16h35m,16h05m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 20C,  пластинки Astro uns.",
19-213,IC4604-rho-Oph  ,16h25m,-23.26,27-28.06.1951,30m,16h50m,17h20m,16h50m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 20C,  пластинки Astro uns.",
19-548,IC4604-rho-Oph  ,16h25m,-23.26,19-20.06.1952,58m,16h30m,17h28m,16h30m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 17C,  пластинки Astro uns.",
19-219,IC4592-nu-Sco,16h11m,-19.27,29-30.06.1951,30m,16h46m,17h16m,16h46m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 11C,  пластинки Astro uns.",
19-220,IC4592-nu-Sco,16h11m,-19.27,29-30.06.1951,30m,17h28m,17h58m,17h28m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 11C,  пластинки Astro uns.",
19-448,IC4592-nu-Sco,16h11m,-19.27,31.03-01.04.1952,1h20m,15h30m,16h50m,15h30m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 9C,  пластинки Astro uns.",
19-554,IC4592-nu-Sco,16h11m,-19.27,24-25.06.1952,1h15m,15h46m,17h01m,15h46m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А. Торопова Т.П.,"t= + 16C,  пластинки Ultra blau rapid + с.ф. Шотта.",
19-5272,IC4592-nu-Sco,16h11m,-19.27,26-27.06.1982,1h15m,16h33m,17h48m,16h33m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 22.5C,  пластинки I-N + фильтр Agfa N83  (ИК).",
19-5273,IC4592-nu-Sco,16h11m,-19.27,10-11.07.1982,1h15m,16h53m,18h08m,16h53m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки I-N + фильтр Agfa N83  (ИК).",
19-1026,Nebulae,17h21m,-23.40,02-03.07.1954,24m,18h01m,18h25m,18h01m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 16C,  пластинки Jlforot 34* + ж.ф. II.",
19-1595,Nebulae,07h22m,-23.27,11-12.02.1956,20m,07h42m,08h02m,07h42m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= -1C,  пластинки Astro uns, имеется стандарт 19-1595-st, калибровка 19-1595-Cal, прозрачность 19-1595-clarity.",
19-1596,Nebulae,06h55m,-17.00,11-12.02.1956,20m,08h55m,09h15m,08h55m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= -1C,  пластинки Astro uns, имеется стандарт 19-1595-st, калибровка 19-1595-Cal, прозрачность 19-1595-clarity.",
19-1597,Nebulae,06h36m,07.00,11-12.02.1956,20m,09h47m,10h07m,09h47m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= -1C,  пластинки Astro uns, имеется стандарт 19-1595-st, калибровка 19-1595-Cal, прозрачность 19-1595-clarity.",
19-1580,Nebulae,06h28m,-09.00,18-19.01.1956,20m,06h33m,06h53m,06h33m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= - 8.5C,  пластинки Astro uns.",
19-1609,Nebulae,06h28m,-09.07,07-08.03.1956,20m,09h10m,09h30m,09h10m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= + 5.5C,  пластинки Astro uns, имеется стандарт 24-1605-st и калибровка 24-1605-Cal.",
19-1608,Nebulae,07h17m,-13.06,07-08.03.1956,20m,08h21m,08h41m,08h21m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= + 5.5C,  пластинки Astro uns, имеется стандарт 24-1605-st и калибровка 24-1605-Cal.",
19-1610,Nebulae IC466,07h04m,-04.15,07-08.03.1956,20m,09h53m,10h13m,09h53m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Гайнуллина Р.Х.,"t= + 5.5C,  пластинки Astro uns, имеется стандарт 24-1605-st и калибровка 24-1605-Cal.",
